Sample	CellType
E13.B1pe.00090	B
E15_B1_02	B
E15_B1_04	B
E15_B1_05	B
E15_B1_10	B
E15_B1_15	B
E15_B1_19	B
E15_B1_20	B
E15_B1_26	B
E15_B1_27	B
E15_B1_29	B
E15_B1_43	B
E15_B1_48	B
E15_B1_52	B
E15_B1_54	B
E15_B1_60	B
E15_B1_67	B
E15_B1_74	B
E15_B1_79	B
E11_B2_19	B
E20_B1_12	B
E20_B1_57	B
